[2026-05-29T15:05:01.923Z] GET https://6e6de0b2.unboring-1hs.pages.dev/ → pending (?ms, ?B)
[2026-05-29T15:05:04.580Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=DM+Sans:wght@400;500;600;700&family=Outfit:wght@400;500;600;700&family=Space+Grotesk:wght@400;500;600;700&family=Manrope:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=Sora:wght@400;500;600;700&family=Urbanist:wght@400;500;600;700&family=Lexend:wght@400;500;600;700&family=Albert+Sans:wght@400;500;600;700&family=Playfair+Display:wght@400;500;600;700&family=Lora:wght@400;500;600;700&family=DM+Serif+Display&family=Crimson+Text:wght@400;600;700&family=Libre+Baskerville:wght@400;700&family=EB+Garamond:wght@400;500;600;700&family=Cormorant+Garamond:wght@400;500;600;700&family=Caveat:wght@400;500;600;700&family=Dancing+Script:wght@400;500;600;700&family=Pacifico&family=Satisfy&family=Great+Vibes&family=Bebas+Neue&family=Oswald:wght@400;500;600;700&family=Righteous&family=Fredoka:wght@400;500;600;700&family=Permanent+Marker&family=Bitter:wght@400;500;600;700&family=Merriweather:wght@400;700&family=Noto+Serif:wght@400;700&family=PT+Serif:wght@400;700&family=Press+Start+2P&family=Orbitron:wght@400;500;600;700&family=VT323&family=Cinzel:wght@400;500;600;700&family=Rajdhani:wght@400;500;600;700&family=Exo+2:wght@400;500;600;700&family=Creepster&family=Special+Elite&family=Nunito:wght@400;500;600;700&family=Bangers&family=Patrick+Hand&display=swap → 200 (473ms, 188374B)
[2026-05-29T15:05:04.580Z] GET https://6e6de0b2.unboring-1hs.pages.dev/assets/style.css → 200 (264ms, 7620B)
[2026-05-29T15:05:04.580Z] GET https://6e6de0b2.unboring-1hs.pages.dev/assets/components.css → 200 (263ms, 24814B)
[2026-05-29T15:05:04.580Z] GET https://6e6de0b2.unboring-1hs.pages.dev/assets/app.js → pending (?ms, ?B)
[2026-05-29T15:05:05.163Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-05-29T15:09:04.883Z] GET https://6e6de0b2.unboring-1hs.pages.dev/ → 200 (590ms, 112287B)
[2026-05-29T15:09:05.525Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=DM+Sans:wght@400;500;600;700&family=Outfit:wght@400;500;600;700&family=Space+Grotesk:wght@400;500;600;700&family=Manrope:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=Sora:wght@400;500;600;700&family=Urbanist:wght@400;500;600;700&family=Lexend:wght@400;500;600;700&family=Albert+Sans:wght@400;500;600;700&family=Playfair+Display:wght@400;500;600;700&family=Lora:wght@400;500;600;700&family=DM+Serif+Display&family=Crimson+Text:wght@400;600;700&family=Libre+Baskerville:wght@400;700&family=EB+Garamond:wght@400;500;600;700&family=Cormorant+Garamond:wght@400;500;600;700&family=Caveat:wght@400;500;600;700&family=Dancing+Script:wght@400;500;600;700&family=Pacifico&family=Satisfy&family=Great+Vibes&family=Bebas+Neue&family=Oswald:wght@400;500;600;700&family=Righteous&family=Fredoka:wght@400;500;600;700&family=Permanent+Marker&family=Bitter:wght@400;500;600;700&family=Merriweather:wght@400;700&family=Noto+Serif:wght@400;700&family=PT+Serif:wght@400;700&family=Press+Start+2P&family=Orbitron:wght@400;500;600;700&family=VT323&family=Cinzel:wght@400;500;600;700&family=Rajdhani:wght@400;500;600;700&family=Exo+2:wght@400;500;600;700&family=Creepster&family=Special+Elite&family=Nunito:wght@400;500;600;700&family=Bangers&family=Patrick+Hand&display=swap → 200 (?ms, 188374B)
[2026-05-29T15:09:05.526Z] GET https://6e6de0b2.unboring-1hs.pages.dev/assets/style.css → 304 (180ms, ?B)
[2026-05-29T15:09:05.526Z] GET https://6e6de0b2.unboring-1hs.pages.dev/assets/components.css → 304 (181ms, ?B)
[2026-05-29T15:09:05.551Z] GET https://6e6de0b2.unboring-1hs.pages.dev/assets/app.js → pending (?ms, ?B)
[2026-05-29T15:09:05.769Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-05-29T15:15:12.885Z] GET https://8c251661.unboring-1hs.pages.dev/ → pending (?ms, ?B)
[2026-05-29T15:15:13.718Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=DM+Sans:wght@400;500;600;700&family=Outfit:wght@400;500;600;700&family=Space+Grotesk:wght@400;500;600;700&family=Manrope:wght@400;500;600;700&family=Plus+Jakarta+Sans:wght@400;500;600;700&family=Sora:wght@400;500;600;700&family=Urbanist:wght@400;500;600;700&family=Lexend:wght@400;500;600;700&family=Albert+Sans:wght@400;500;600;700&family=Playfair+Display:wght@400;500;600;700&family=Lora:wght@400;500;600;700&family=DM+Serif+Display&family=Crimson+Text:wght@400;600;700&family=Libre+Baskerville:wght@400;700&family=EB+Garamond:wght@400;500;600;700&family=Cormorant+Garamond:wght@400;500;600;700&family=Caveat:wght@400;500;600;700&family=Dancing+Script:wght@400;500;600;700&family=Pacifico&family=Satisfy&family=Great+Vibes&family=Bebas+Neue&family=Oswald:wght@400;500;600;700&family=Righteous&family=Fredoka:wght@400;500;600;700&family=Permanent+Marker&family=Bitter:wght@400;500;600;700&family=Merriweather:wght@400;700&family=Noto+Serif:wght@400;700&family=PT+Serif:wght@400;700&family=Press+Start+2P&family=Orbitron:wght@400;500;600;700&family=VT323&family=Cinzel:wght@400;500;600;700&family=Rajdhani:wght@400;500;600;700&family=Exo+2:wght@400;500;600;700&family=Creepster&family=Special+Elite&family=Nunito:wght@400;500;600;700&family=Bangers&family=Patrick+Hand&display=swap → 200 (3ms, 188374B)
[2026-05-29T15:15:13.718Z] GET https://8c251661.unboring-1hs.pages.dev/assets/style.css → pending (?ms, ?B)
[2026-05-29T15:15:13.718Z] GET https://8c251661.unboring-1hs.pages.dev/assets/components.css → pending (?ms, ?B)
[2026-05-29T15:15:13.729Z] GET https://8c251661.unboring-1hs.pages.dev/assets/app.js → pending (?ms, ?B)
[2026-05-29T15:15:14.230Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, 48432B)
[2026-05-29T15:15:50.589Z] GET https://fonts.gstatic.com/s/merriweather/v33/u-4e0qyriQwlOrhSvowK_l5UcA6zuSYEqOzpPe3HOZJ5eX1WtLaQwmYiSeqqJ-mXq1Gi.woff2 → 200 (473ms, 97608B)
[2026-05-29T15:15:50.589Z] GET https://fonts.gstatic.com/s/lexend/v26/wlpwgwvFAVdoq2_v-6QU82RHaA.woff2 → 200 (499ms, ?B)
[2026-05-29T15:25:17.810Z] GET https://160924da.unboring-1hs.pages.dev/ → pending (?ms, ?B)
